id,stationName,latitude,longitude,neighbourhood,availableDocks,totalDocks,city,color,borough
3492,E 118 St & Park Ave,40.8005385,-73.9419949,East Harlem,26,27,NYC,#D05E56,Manhattan
3493,E 118 St & 3 Ave,40.799139000000004,-73.9389152,East Harlem,31,31,NYC,#D05E56,Manhattan
3494,E 115 St & Lexington Ave,40.797911,-73.9423,East Harlem,23,25,NYC,#D05E56,Manhattan
3495,E 114 St & 1 Ave,40.79456629999999,-73.9362541,East Harlem,22,26,NYC,#D05E56,Manhattan
3496,1 Ave & E 110 St,40.7923272,-73.9383,East Harlem,9,25,NYC,#D05E56,Manhattan
3497,Pleasant Ave & E 116 St,40.794987899999995,-73.9333349,East Harlem,19,23,NYC,#D05E56,Manhattan
3498,Pleasant Ave & E 120 St,40.7974772,-73.9311847,East Harlem,4,21,NYC,#D05E56,Manhattan
3499,2 Ave & E 122 St,40.8006721,-73.9349,East Harlem,21,25,NYC,#D05E56,Manhattan
3500,E 115 St & Madison Ave,40.7989445,-73.944846,East Harlem,25,31,NYC,#D05E56,Manhattan
3501,E 118 St & Madison Ave,40.801486600000004,-73.9442507,East Harlem,28,29,NYC,#D05E56,Manhattan
3502,Lexington Ave & E 111 St,40.79541210000001,-73.9441232,East Harlem,27,29,NYC,#D05E56,Manhattan
3503,Madison Ave & E 120 St,40.80295,-73.942954,East Harlem,29,30,NYC,#D05E56,Manhattan
3504,E 123 St & Lexington Ave,40.802926299999996,-73.9379,East Harlem,27,27,NYC,#D05E56,Manhattan
3505,Lexington Ave & E 127 St,40.805726,-73.936322,East Harlem,32,33,NYC,#D05E56,Manhattan
3506,Lexington Ave & E 120 St,40.8013066,-73.93981670000001,East Harlem,26,29,NYC,#D05E56,Manhattan
3507,Park Ave & E 124 St,40.8045555,-73.93968609999999,Harlem,26,36,NYC,#A477C4,Manhattan
3508,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,Harlem,29,31,NYC,#A477C4,Manhattan
3509,Lenox Ave & W 115 St,40.8011939,-73.9500739,Harlem,24,31,NYC,#A477C4,Manhattan
3510,Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373,Harlem,28,31,NYC,#A477C4,Manhattan
